,match_id,date,event,team_1,team_2,map,score_1,score_2,stars
0,2341578,2020-06-12,DreamHack Masters Spring 2020 - Europe,Natus Vincere,FaZe,bo3,0,2,3
1,2341753,2020-05-30,Gamers Without Borders 2020,Natus Vincere,FaZe,bo3,2,1,3
2,2340648,2020-04-08,ESL Pro League Season 11 Europe,FaZe,Natus Vincere,bo3,1,2,3
3,2339397,2020-02-27,IEM Katowice 2020,Natus Vincere,FaZe,bo3,2,1,3
4,2339375,2020-02-24,IEM Katowice 2020,Natus Vincere,FaZe,bo3,2,1,3
5,2337260,2019-11-01,BLAST Pro Series Copenhagen 2019,Natus Vincere,FaZe,nuke,9,16,1
6,2332205,2019-04-13,BLAST Pro Series Miami 2019,FaZe,Natus Vincere,ovp,16,10,3
7,2331075,2019-02-28,IEM Katowice 2019,Natus Vincere,FaZe,bo3,2,0,4
8,2329720,2018-12-15,BLAST Pro Series Lisbon 2018,FaZe,Natus Vincere,inf,13,16,4
9,2328303,2018-11-02,BLAST Pro Series Copenhagen 2018,FaZe,Natus Vincere,ovp,16,8,4
10,2328211,2018-10-28,EPICENTER 2018,Natus Vincere,FaZe,bo3,0,2,3
11,2328205,2018-10-25,EPICENTER 2018,FaZe,Natus Vincere,bo3,0,2,3
12,2327479,2018-10-18,ESL Pro League Season 8 Europe,Natus Vincere,FaZe,ovp,16,14,3
13,2327477,2018-10-18,ESL Pro League Season 8 Europe,FaZe,Natus Vincere,inf,14,16,3
14,2326396,2018-09-13,FACEIT Major 2018,Natus Vincere,FaZe,ovp,16,12,4
15,2322812,2018-05-17,ESL Pro League Season 7 Finals,FaZe,Natus Vincere,bo3,0,2,4
16,2319699,2018-02-24,StarSeries i-League Season 4,FaZe,Natus Vincere,bo3,1,2,3
17,2319683,2018-02-19,StarSeries i-League Season 4,FaZe,Natus Vincere,bo3,2,1,3
18,2319437,2018-02-14,ESL Pro League Season 7 Europe,FaZe,Natus Vincere,mrg,23,25,3
19,2319436,2018-02-14,ESL Pro League Season 7 Europe,Natus Vincere,FaZe,inf,16,6,3
20,2318630,2018-01-27,ELEAGUE Major 2018,FaZe,Natus Vincere,bo3,2,0,2
21,2318555,2018-01-15,ELEAGUE Major 2018 Main Qualifier,FaZe,Natus Vincere,trn,16,4,2
22,2314054,2017-11-11,ESL Pro League Season 6 Europe,Natus Vincere,FaZe,nuke,22,19,2
23,2314047,2017-11-11,ESL Pro League Season 6 Europe,FaZe,Natus Vincere,ovp,16,6,2
24,2314493,2017-09-09,ELEAGUE CS:GO Premier 2017,FaZe,Natus Vincere,inf,16,6,3
25,2308905,2017-03-21,ESL Pro League Season 5 Europe,Natus Vincere,FaZe,mrg,16,6,3
26,2308903,2017-03-21,ESL Pro League Season 5 Europe,FaZe,Natus Vincere,trn,9,16,3
